"cat_id","name","description","target_stock","created_at","life_safety","behaviour","budget_owner","sized_pool_style","nfc_tag","qr_code","active"
"water_safety","Water Safety","Water safety equipment","2","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"ppes","PPE General","General PPE","1","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"comms","Communications","Radios and comms","18","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"locker_slings","Locker Slings","Per-locker slings","36","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"locker_carabiners","Locker Carabiners","Per-locker carabiners","126","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"locker_prusiks","Locker Prusiks","Per-locker prusiks","18","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"locker_dry_bags","Locker Dry Bags","Per-locker dry bags","36","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"trailers","Trailers","Trailers","7","2026-04-29T03:32:40.898487+00:00","false","monitored_only","external","","","","true"
"locker_misc","Locker Misc Kit","Locker cooking, navigation, lighting kit","1332","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"hr_gear_other","High Ropes Other","Fixed HR infrastructure","17","2026-04-29T03:32:40.898487+00:00","true","monitored_only","external","","","","true"
"locker_helmets","Locker Helmets","Per-locker helmets — monitor and report","166","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"avalanche_beacons","Avalanche Transceivers","Avalanche beacons Ortovox","30","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"cat_canoes","Canoes","","16","2026-04-30T01:09:14.070143+00:00","true","signable","resource","","","","true"
"cat_mavericks","Mavericks","inflateabel kayaks mavericks","16","2026-04-30T01:04:03.279922+00:00","true","signable","resource","","","","true"
"cat_sea_kayaks","Sea Kayaks","","13","2026-04-30T01:10:08.334292+00:00","true","signable","resource","","","","true"
"cat_sit_on_tops","Sit On Tops","","25","2026-04-30T01:11:26.696991+00:00","true","signable","resource","","","","true"
"cat_canoe_rack_beams","Canoe Rack Beams","","5","2026-04-30T01:11:44.712154+00:00","true","signable","resource","","","","true"
"cat_tarps","Tarps","","75","2026-04-30T01:13:11.08296+00:00","true","monitored_only","resource","","","","true"
"cat_climbing_shoes","Climbing Shoes","","38","2026-04-30T01:14:15.508386+00:00","false","sized_pool","resource","bucket","","","true"
"cat_caving_jackets","Caving Jackets","","40","2026-04-30T01:18:08.215718+00:00","false","sized_pool","resource","bucket","","","true"
"cat_winter_gloves","Winter Gloves","","50","2026-04-30T01:21:45.62288+00:00","false","sized_pool","resource","bucket","","","true"
"cat_kayak_repair_kits","Kayak Repair Kits","","5","2026-04-30T01:23:33.359002+00:00","false","monitored_only","resource","","","","true"
"cat_atcs","ATCs","","30","2026-04-30T02:22:38.710201+00:00","true","signable","resource","","","","true"
"cat_atc_guide","ATC Guide","","30","2026-04-30T02:22:59.861856+00:00","true","signable","resource","","","","true"
"cat_figure_8","Figure 8","","20","2026-04-30T02:23:19.308391+00:00","true","signable","resource","","","","true"
"cat_gri_gri","Gri Gri","","20","2026-04-30T02:23:37.313835+00:00","true","signable","resource","","","","true"
"cat_roll_mats","Roll Mats","","60","2026-04-30T02:24:31.086686+00:00","false","sized_pool","resource","bucket","","","true"
"cat_energy_absorber","Energy Absorber","","3","2026-04-30T03:05:34.09911+00:00","true","signable","resource","","","","true"
"cat_dry_bags","Dry Bags","","12","2026-04-30T02:57:41.347247+00:00","false","signable","resource","","","","true"
"cat_rigging_plates","Rigging Plates","","2","2026-04-30T02:55:27.315348+00:00","true","signable","resource","","","","true"
"cat_eddy","Eddy","","0","2026-04-30T02:23:56.537261+00:00","true","monitored_only","resource","","","","true"
"cat_alloy_carabiners","Alloy Carabiners","Aluminium / alloy carabiners — cheaper, lighter, faster to consume","50","2026-04-30T20:36:58.875328+00:00","true","signable","resource","","","","true"
"cat_steel_carabiners","Steel Carabiners","Steel carabiners — for top anchors, rescue, longer-life applications","12","2026-04-30T20:36:58.875328+00:00","true","signable","resource","","","","true"
